score,iteration,sift_nOctaveLayers,sift_sigma,min_match_count,sift_contrastThreshold,sift_edgeThreshold,good_matches_threshold,ransac_reproj_threshold
10,205,8,1.0,45,0.04,9,0.7,4.0
10,74,7,1.0,35,0.04,9,0.7,4.5
10,87,7,1.0,40,0.04,9,0.7,5.0
10,204,8,1.0,45,0.04,9,0.7,3.5
10,43,7,0.9,35,0.04,10,0.7,5.0
10,61,7,0.9,45,0.04,9,0.7,4.0
10,160,8,0.9,40,0.04,10,0.7,3.5
10,103,7,1.0,45,0.04,10,0.7,5.0
10,106,7,1.0,45,0.04,11,0.7,4.5
10,127,8,0.8,40,0.04,10,0.7,5.0
10,105,7,1.0,45,0.04,11,0.7,4.0
10,315,9,1.0,45,0.04,9,0.7,5.0
10,313,9,1.0,45,0.04,9,0.7,4.0
10,102,7,1.0,45,0.04,10,0.7,4.5
10,290,9,1.0,35,0.04,9,0.7,4.5
10,307,9,1.0,40,0.04,10,0.7,5.0
10,319,9,1.0,45,0.04,10,0.7,5.0
10,300,9,1.0,40,0.04,9,0.7,3.5
10,309,9,1.0,40,0.04,11,0.7,4.0
10,292,9,1.0,35,0.04,10,0.7,3.5
10,294,9,1.0,35,0.04,10,0.7,4.5
10,27,7,0.8,45,0.04,9,0.7,5.0
10,9,7,0.8,35,0.04,11,0.7,4.0
10,13,7,0.8,40,0.04,9,0.7,4.0
10,11,7,0.8,35,0.04,11,0.7,5.0
10,1,7,0.8,35,0.04,9,0.7,4.0
10,6,7,0.8,35,0.04,10,0.7,4.5
9,14,7,0.8,40,0.04,9,0.7,4.5
9,118,8,0.8,35,0.04,11,0.7,4.5
9,314,9,1.0,45,0.04,9,0.7,4.5
9,316,9,1.0,45,0.04,10,0.7,3.5
9,317,9,1.0,45,0.04,10,0.7,4.0
9,312,9,1.0,45,0.04,9,0.7,3.5
9,308,9,1.0,40,0.04,11,0.7,3.5
9,32,7,0.8,45,0.04,11,0.7,3.5
9,31,7,0.8,45,0.04,10,0.7,5.0
9,117,8,0.8,35,0.04,11,0.7,4.0
9,126,8,0.8,40,0.04,10,0.7,4.5
9,104,7,1.0,45,0.04,11,0.7,3.5
9,112,8,0.8,35,0.04,10,0.7,3.5
9,113,8,0.8,35,0.04,10,0.7,4.0
9,213,8,1.0,45,0.04,11,0.7,4.0
9,212,8,1.0,45,0.04,11,0.7,3.5
9,210,8,1.0,45,0.04,10,0.7,4.5
9,230,9,0.8,40,0.04,9,0.7,4.5
9,223,9,0.8,35,0.04,10,0.7,5.0
9,224,9,0.8,35,0.04,11,0.7,3.5
9,95,7,1.0,40,0.04,11,0.7,5.0
9,199,8,1.0,40,0.04,10,0.7,5.0
9,201,8,1.0,40,0.04,11,0.7,4.0
9,197,8,1.0,40,0.04,10,0.7,4.0
9,195,8,1.0,40,0.04,9,0.7,5.0
9,202,8,1.0,40,0.04,11,0.7,4.5
9,68,7,0.9,45,0.04,11,0.7,3.5
9,264,9,0.9,40,0.04,9,0.7,3.5
9,268,9,0.9,40,0.04,10,0.7,3.5
9,44,7,0.9,35,0.04,11,0.7,3.5
9,284,9,0.9,45,0.04,11,0.7,3.5
9,246,9,0.8,45,0.04,10,0.7,4.5
9,34,7,0.8,45,0.04,11,0.7,4.5
9,236,9,0.8,40,0.04,11,0.7,3.5
9,238,9,0.8,40,0.04,11,0.7,4.5
9,240,9,0.8,45,0.04,9,0.7,3.5
9,244,9,0.8,45,0.04,10,0.7,3.5
9,248,9,0.8,45,0.04,11,0.7,3.5
9,250,9,0.8,45,0.04,11,0.7,4.5
9,193,8,1.0,40,0.04,9,0.7,4.0
9,194,8,1.0,40,0.04,9,0.7,4.5
9,89,7,1.0,40,0.04,10,0.7,4.0
9,208,8,1.0,45,0.04,10,0.7,3.5
9,228,9,0.8,40,0.04,9,0.7,3.5
9,222,9,0.8,35,0.04,10,0.7,4.5
9,215,8,1.0,45,0.04,11,0.7,5.0
9,173,8,0.9,45,0.04,10,0.7,4.0
9,168,8,0.9,45,0.04,9,0.7,3.5
9,171,8,0.9,45,0.04,9,0.7,5.0
9,182,8,1.0,35,0.04,9,0.7,4.5
9,73,7,1.0,35,0.04,9,0.7,4.0
9,79,7,1.0,35,0.04,10,0.7,5.0
8,129,8,0.8,40,0.04,11,0.7,4.0
8,124,8,0.8,40,0.04,10,0.7,3.5
8,123,8,0.8,40,0.04,9,0.7,5.0
8,125,8,0.8,40,0.04,10,0.7,4.0
8,108,8,0.8,35,0.04,9,0.7,3.5
8,16,7,0.8,40,0.04,10,0.7,3.5
8,158,8,0.9,40,0.04,9,0.7,4.5
