score,iteration,sift_nOctaveLayers,sift_sigma,min_match_count,sift_contrastThreshold,sift_edgeThreshold,good_matches_threshold,ransac
16,360,7,1.0,38,0.045,9,0.68,3.5
16,420,7,1.0,40,0.045,10,0.68,3.5
16,317,7,0.9,42,0.045,10,0.72,4.0
15,414,7,1.0,40,0.045,9,0.68,3.5
15,367,7,1.0,38,0.045,10,0.68,4.0
15,366,7,1.0,38,0.045,10,0.68,3.5
15,421,7,1.0,40,0.045,10,0.68,4.0
15,307,7,0.9,42,0.045,9,0.68,4.0
15,343,7,1.0,38,0.04,9,0.68,4.0
15,397,7,1.0,40,0.04,9,0.68,4.0
15,145,7,0.8,42,0.045,9,0.68,4.0
15,332,7,1.0,38,0.035,10,0.7,3.5
15,119,7,0.8,42,0.035,10,0.72,4.0
15,323,7,0.9,42,0.045,11,0.72,4.0
15,318,7,0.9,42,0.045,11,0.68,3.5
14,295,7,0.9,42,0.04,10,0.68,4.0
14,415,7,1.0,40,0.045,9,0.68,4.0
14,417,7,1.0,40,0.045,9,0.7,4.0
14,361,7,1.0,38,0.045,9,0.68,4.0
14,46,7,0.8,38,0.045,10,0.72,3.5
14,313,7,0.9,42,0.045,10,0.68,4.0
14,312,7,0.9,42,0.045,10,0.68,3.5
14,83,7,0.8,40,0.04,10,0.72,4.0
14,288,7,0.9,42,0.04,9,0.68,3.5
14,113,7,0.8,42,0.035,9,0.72,4.0
14,253,7,0.9,40,0.045,9,0.68,4.0
14,3,7,0.8,38,0.035,9,0.7,4.0
14,209,7,0.9,38,0.045,10,0.72,4.0
14,118,7,0.8,42,0.035,10,0.72,3.5
14,101,7,0.8,40,0.045,10,0.72,4.0
13,373,7,1.0,38,0.045,11,0.68,4.0
13,53,7,0.8,38,0.045,11,0.72,4.0
13,362,7,1.0,38,0.045,9,0.7,3.5
13,91,7,0.8,40,0.045,9,0.68,4.0
13,319,7,0.9,42,0.045,11,0.68,4.0
13,77,7,0.8,40,0.04,9,0.72,4.0
13,259,7,0.9,40,0.045,10,0.68,4.0
13,311,7,0.9,42,0.045,9,0.72,4.0
13,301,7,0.9,42,0.04,11,0.68,4.0
13,258,7,0.9,40,0.045,10,0.68,3.5
13,252,7,0.9,40,0.045,9,0.68,3.5
13,100,7,0.8,40,0.045,10,0.72,3.5
13,126,7,0.8,42,0.04,9,0.68,3.5
13,264,7,0.9,40,0.045,11,0.68,3.5
13,155,7,0.8,42,0.045,10,0.72,4.0
13,234,7,0.9,40,0.04,9,0.68,3.5
13,201,7,0.9,38,0.045,9,0.7,4.0
13,181,7,0.9,38,0.04,9,0.68,4.0
13,198,7,0.9,38,0.045,9,0.68,3.5
13,199,7,0.9,38,0.045,9,0.68,4.0
13,416,7,1.0,40,0.045,9,0.7,3.5
13,403,7,1.0,40,0.04,10,0.68,4.0
13,408,7,1.0,40,0.04,11,0.68,3.5
13,402,7,1.0,40,0.04,10,0.68,3.5
13,14,7,0.8,38,0.035,11,0.7,3.5
12,422,7,1.0,40,0.045,10,0.7,3.5
12,348,7,1.0,38,0.04,10,0.68,3.5
12,342,7,1.0,38,0.04,9,0.68,3.5
12,42,7,0.8,38,0.045,10,0.68,3.5
12,153,7,0.8,42,0.045,10,0.7,4.0
12,154,7,0.8,42,0.045,10,0.72,3.5
12,205,7,0.9,38,0.045,10,0.68,4.0
12,90,7,0.8,40,0.045,9,0.68,3.5
12,96,7,0.8,40,0.045,10,0.68,3.5
12,97,7,0.8,40,0.045,10,0.68,4.0
12,98,7,0.8,40,0.045,10,0.7,3.5
12,354,7,1.0,38,0.04,11,0.68,3.5
12,15,7,0.8,38,0.035,11,0.7,4.0
12,409,7,1.0,40,0.04,11,0.68,4.0
12,150,7,0.8,42,0.045,10,0.68,3.5
12,152,7,0.8,42,0.045,10,0.7,3.5
12,369,7,1.0,38,0.045,10,0.7,4.0
12,44,7,0.8,38,0.045,10,0.7,3.5
12,283,7,0.9,42,0.035,11,0.68,4.0
12,276,7,0.9,42,0.035,10,0.68,3.5
12,144,7,0.8,42,0.045,9,0.68,3.5
12,151,7,0.8,42,0.045,10,0.68,4.0
11,271,7,0.9,42,0.035,9,0.68,4.0
11,263,7,0.9,40,0.045,10,0.72,4.0
11,375,7,1.0,38,0.045,11,0.7,4.0
