score,iteration,sift_nfeatures,sift_nOctaveLayers,sift_contrastThreshold,sift_edgeThreshold,sift_sigma,min_match_count,good_matches_threshold,mask_scale,ransac
400,627,0,7,0.06060606060606061,11.818181818181818,0.4404040404040404,55,0.593939393939394,1,6.272727272727273
400,294,0,7,0.041212121212121214,8.606060606060606,0.42424242424242425,57,0.5181818181818182,1,3.9696969696969697
400,881,0,7,0.051515151515151514,10.606060606060606,0.43232323232323233,42,0.6848484848484848,1,6.555555555555555
400,356,0,7,0.04242424242424242,11.393939393939394,0.4161616161616162,55,0.5272727272727272,1,5.666666666666667
400,368,0,4,0.06,9.93939393939394,0.7232323232323232,52,0.8,1,3.888888888888889
400,836,0,6,0.04,11.272727272727273,0.8848484848484849,41,0.7696969696969698,1,4.696969696969697
400,43,0,6,0.07333333333333333,9.878787878787879,0.4080808080808081,42,0.7757575757575759,1,4.05050505050505
200,981,0,6,0.020606060606060607,13.030303030303031,0.795959595959596,52,0.7696969696969698,1,5.383838383838384
200,245,0,3,0.052727272727272734,12.606060606060606,1.094949494949495,50,0.7666666666666667,1,5.424242424242424
200,489,0,5,0.05090909090909091,9.09090909090909,0.9494949494949495,56,0.793939393939394,1,4.737373737373737
200,675,0,5,0.033939393939393936,13.333333333333334,0.5777777777777778,56,0.796969696969697,1,5.101010101010101
100,475,0,3,0.07151515151515152,11.93939393939394,0.6181818181818182,43,0.7757575757575759,1,4.777777777777778
100,459,0,3,0.03818181818181818,13.696969696969697,1.006060606060606,48,0.7666666666666667,1,6.111111111111111
100,936,0,6,0.04666666666666666,12.303030303030303,1.006060606060606,41,0.7242424242424242,1,4.818181818181818
100,651,0,5,0.035151515151515156,10.0,0.8686868686868687,43,0.7545454545454546,1,5.101010101010101
100,455,0,4,0.0393939393939394,8.06060606060606,1.1434343434343435,56,0.7696969696969698,1,5.343434343434343
100,934,0,3,0.05333333333333333,12.06060606060606,0.8444444444444444,58,0.796969696969697,1,6.070707070707071
100,473,0,6,0.03636363636363636,9.454545454545455,0.5131313131313131,40,0.8,1,5.98989898989899
100,9,0,4,0.06727272727272728,10.969696969696969,1.1353535353535353,54,0.7727272727272727,1,3.1616161616161618
100,942,0,6,0.023636363636363636,12.06060606060606,0.9656565656565657,40,0.7727272727272727,1,6.272727272727273
100,958,0,7,0.027878787878787878,13.454545454545455,1.1757575757575758,46,0.796969696969697,1,5.262626262626263
100,681,0,6,0.07090909090909091,11.696969696969697,0.9656565656565657,57,0.7848484848484849,1,6.313131313131313
100,543,0,6,0.0496969696969697,10.121212121212121,0.7636363636363637,44,0.796969696969697,1,7.0
100,533,0,5,0.06606060606060606,11.333333333333334,0.593939393939394,54,0.790909090909091,1,6.717171717171718
100,544,0,3,0.034545454545454546,13.454545454545455,0.8202020202020202,55,0.7363636363636363,1,3.121212121212121
100,110,0,6,0.06787878787878789,11.393939393939394,1.0222222222222221,41,0.796969696969697,1,3.202020202020202
100,111,0,4,0.055151515151515146,12.787878787878789,0.795959595959596,53,0.7515151515151515,1,3.1616161616161618
100,70,0,3,0.024242424242424242,12.484848484848484,0.5292929292929294,55,0.7727272727272727,1,4.494949494949495
100,537,0,7,0.020606060606060607,10.787878787878789,0.6262626262626263,54,0.7878787878787878,1,5.464646464646465
100,36,0,6,0.05818181818181818,11.393939393939394,1.1757575757575758,44,0.7757575757575759,1,6.272727272727273
100,929,0,7,0.035151515151515156,8.787878787878787,1.0545454545454547,59,0.790909090909091,1,3.1616161616161618
100,519,0,7,0.021212121212121213,11.515151515151516,1.0464646464646465,47,0.7242424242424242,1,5.747474747474747
100,740,0,6,0.06545454545454546,11.93939393939394,1.1272727272727274,46,0.7696969696969698,1,5.94949494949495
100,53,0,7,0.07393939393939394,10.424242424242424,1.1272727272727274,48,0.7848484848484849,1,5.181818181818182
100,55,0,7,0.033939393939393936,9.09090909090909,0.901010101010101,53,0.7727272727272727,1,6.595959595959597
100,37,0,5,0.06545454545454546,13.030303030303031,0.8606060606060606,42,0.7666666666666667,1,5.8686868686868685
100,109,0,7,0.03818181818181818,8.90909090909091,0.795959595959596,41,0.793939393939394,1,5.222222222222222
100,747,0,6,0.025454545454545455,8.424242424242424,0.5616161616161617,42,0.7515151515151515,1,5.343434343434343
100,751,0,7,0.062424242424242424,11.454545454545455,0.7232323232323232,50,0.7787878787878788,1,5.545454545454546
100,469,0,5,0.05818181818181818,12.484848484848484,0.7474747474747475,51,0.7787878787878788,1,4.1313131313131315
100,754,0,4,0.026060606060606062,10.0,0.8121212121212121,56,0.7727272727272727,1,4.858585858585859
100,470,0,5,0.052727272727272734,12.484848484848484,0.795959595959596,47,0.7818181818181819,1,3.525252525252525
100,632,0,6,0.04303030303030303,12.787878787878789,0.8202020202020202,46,0.7666666666666667,1,6.95959595959596
100,745,0,4,0.07151515151515152,9.696969696969697,0.997979797979798,48,0.7848484848484849,1,3.484848484848485
100,539,0,3,0.02181818181818182,10.90909090909091,0.5858585858585859,45,0.7424242424242424,1,4.656565656565657
100,155,0,4,0.02909090909090909,8.06060606060606,0.43232323232323233,44,0.7696969696969698,1,3.5656565656565657
100,141,0,6,0.055757575757575756,8.181818181818182,1.1595959595959595,40,0.7787878787878788,1,6.151515151515152
100,151,0,7,0.040606060606060604,11.696969696969697,0.98989898989899,44,0.793939393939394,1,4.414141414141414
100,900,0,7,0.03818181818181818,9.515151515151516,0.9252525252525253,52,0.7545454545454546,1,6.232323232323233
100,150,0,5,0.04242424242424242,11.030303030303031,1.1515151515151514,56,0.7787878787878788,1,4.05050505050505
100,910,0,5,0.06121212121212122,9.636363636363637,1.094949494949495,59,0.7848484848484849,1,4.454545454545455
100,921,0,3,0.07757575757575758,11.696969696969697,0.6343434343434344,54,0.796969696969697,1,5.0606060606060606
100,906,0,6,0.037575757575757575,13.878787878787879,0.5454545454545454,47,0.7696969696969698,1,5.424242424242424
100,640,0,3,0.06424242424242424,13.878787878787879,1.0303030303030303,55,0.7787878787878788,1,3.484848484848485
100,685,0,3,0.05818181818181818,10.0,0.8121212121212121,40,0.790909090909091,1,6.555555555555555
100,169,0,5,0.05030303030303031,8.848484848484848,0.9090909090909091,44,0.7333333333333334,1,4.616161616161616
100,791,0,7,0.052121212121212124,12.0,1.0707070707070707,47,0.7606060606060606,1,6.717171717171718
100,897,0,7,0.041212121212121214,8.969696969696969,0.9171717171717172,53,0.7606060606060606,1,4.454545454545455
100,424,0,7,0.06303030303030303,9.696969696969697,0.9090909090909091,45,0.7575757575757576,1,6.595959595959597
100,187,0,5,0.051515151515151514,11.454545454545455,0.8606060606060606,48,0.793939393939394,1,6.95959595959596
100,172,0,4,0.033939393939393936,11.696969696969697,0.5696969696969697,54,0.7696969696969698,1,5.828282828282829
100,434,0,5,0.026060606060606062,10.969696969696969,0.7313131313131314,43,0.7545454545454546,1,6.434343434343434
100,393,0,3,0.07212121212121213,11.878787878787879,0.7878787878787878,47,0.7636363636363637,1,3.5656565656565657
100,145,0,5,0.0496969696969697,9.878787878787879,0.9737373737373738,54,0.790909090909091,1,4.01010101010101
100,389,0,3,0.03575757575757576,12.242424242424242,0.5858585858585859,40,0.7818181818181819,1,3.606060606060606
100,449,0,6,0.022424242424242423,9.696969696969697,0.5131313131313131,49,0.7666666666666667,1,3.525252525252525
100,441,0,7,0.03636363636363636,9.878787878787879,0.7393939393939395,53,0.793939393939394,1,4.090909090909091
100,769,0,4,0.03575757575757576,12.666666666666668,0.48888888888888893,56,0.7848484848484849,1,4.252525252525253
100,425,0,5,0.07515151515151515,12.181818181818182,0.7313131313131314,50,0.7818181818181819,1,5.98989898989899
100,892,0,4,0.04424242424242424,13.636363636363637,0.9737373737373738,44,0.7696969696969698,1,6.91919191919192
100,895,0,3,0.041212121212121214,13.09090909090909,0.7474747474747475,45,0.8,1,5.262626262626263
100,409,0,3,0.04424242424242424,13.454545454545455,0.795959595959596,55,0.7878787878787878,1,6.7979797979797985
100,398,0,6,0.07272727272727272,9.757575757575758,0.8282828282828283,43,0.790909090909091,1,5.101010101010101
100,373,0,3,0.027272727272727275,8.424242424242424,0.8525252525252526,45,0.7272727272727273,1,6.232323232323233
100,714,0,7,0.03696969696969697,10.303030303030303,1.006060606060606,56,0.7787878787878788,1,3.888888888888889
100,577,0,4,0.020606060606060607,13.757575757575758,1.1757575757575758,42,0.7515151515151515,1,5.262626262626263
100,458,0,3,0.055151515151515146,12.545454545454547,0.9818181818181818,43,0.7787878787878788,1,5.666666666666667
100,504,0,5,0.05818181818181818,9.393939393939394,0.8525252525252526,56,0.7848484848484849,1,4.777777777777778
100,496,0,6,0.046060606060606066,8.242424242424242,0.7151515151515151,53,0.7666666666666667,1,3.484848484848485
100,500,0,6,0.06606060606060606,13.878787878787879,1.2,50,0.7666666666666667,1,5.222222222222222
100,499,0,3,0.05333333333333333,11.272727272727273,0.5292929292929294,55,0.7878787878787878,1,3.1616161616161618
100,487,0,7,0.026666666666666665,13.818181818181818,1.0383838383838384,59,0.7303030303030303,1,3.6464646464646466
100,485,0,3,0.06060606060606061,8.424242424242424,1.2,48,0.7515151515151515,1,3.121212121212121
100,490,0,5,0.055757575757575756,10.90909090909091,0.593939393939394,43,0.7696969696969698,1,5.909090909090909
100,949,0,6,0.06909090909090909,11.454545454545455,1.191919191919192,45,0.793939393939394,1,6.272727272727273
100,994,0,6,0.04303030303030303,10.303030303030303,0.8848484848484849,57,0.790909090909091,1,5.8686868686868685
100,671,0,5,0.07090909090909091,8.0,0.6909090909090909,50,0.796969696969697,1,3.4444444444444446
100,612,0,5,0.04242424242424242,13.696969696969697,0.5535353535353535,52,0.7848484848484849,1,5.0606060606060606
100,84,0,7,0.03151515151515152,13.757575757575758,1.1111111111111112,49,0.7272727272727273,1,3.0
100,644,0,7,0.037575757575757575,8.727272727272727,1.0545454545454547,45,0.7272727272727273,1,3.121212121212121
100,92,0,6,0.07515151515151515,10.666666666666668,1.0303030303030303,44,0.7848484848484849,1,3.242424242424242
100,276,0,4,0.026666666666666665,11.030303030303031,0.5292929292929294,53,0.7818181818181819,1,6.757575757575758
100,275,0,4,0.03212121212121212,11.818181818181818,0.997979797979798,59,0.796969696969697,1,6.272727272727273
100,975,0,5,0.030303030303030304,11.212121212121213,1.0222222222222221,44,0.7515151515151515,1,3.404040404040404
100,27,0,5,0.07939393939393939,10.484848484848484,0.6505050505050505,47,0.7787878787878788,1,5.424242424242424
100,967,0,3,0.07393939393939394,13.878787878787879,1.2,49,0.7484848484848485,1,3.04040404040404
100,19,0,6,0.037575757575757575,12.06060606060606,0.8848484848484849,48,0.7666666666666667,1,5.020202020202021
100,453,0,4,0.07878787878787878,10.0,0.9252525252525253,43,0.7818181818181819,1,3.242424242424242
100,16,0,4,0.020606060606060607,13.272727272727273,0.6262626262626263,40,0.7303030303030303,1,6.272727272727273
100,407,0,5,0.037575757575757575,12.90909090909091,1.014141414141414,58,0.7787878787878788,1,4.494949494949495
100,630,0,7,0.06545454545454546,11.878787878787879,1.0383838383838384,56,0.7666666666666667,1,3.888888888888889
100,874,0,3,0.04727272727272727,13.151515151515152,1.1434343434343435,43,0.7818181818181819,1,4.252525252525253
100,218,0,7,0.06303030303030303,12.484848484848484,0.9252525252525253,50,0.7727272727272727,1,5.424242424242424
100,878,0,4,0.023636363636363636,11.09090909090909,0.5050505050505051,58,0.790909090909091,1,5.787878787878788
100,367,0,7,0.07393939393939394,13.93939393939394,0.7393939393939395,53,0.793939393939394,1,3.484848484848485
100,214,0,6,0.07757575757575758,13.636363636363637,0.593939393939394,57,0.8,1,6.95959595959596
100,868,0,7,0.023636363636363636,9.515151515151516,0.7232323232323232,41,0.7272727272727273,1,6.757575757575758
100,789,0,6,0.0393939393939394,8.363636363636363,1.014141414141414,43,0.7818181818181819,1,4.8989898989899
100,165,0,6,0.04242424242424242,11.93939393939394,1.1676767676767676,56,0.7666666666666667,1,3.202020202020202
100,136,0,5,0.06666666666666667,13.09090909090909,0.9656565656565657,47,0.7666666666666667,1,5.5858585858585865
100,179,0,3,0.041212121212121214,11.151515151515152,0.6505050505050505,45,0.7727272727272727,1,5.383838383838384
100,225,0,7,0.024242424242424242,8.242424242424242,0.9090909090909091,49,0.7363636363636363,1,4.1313131313131315
100,224,0,7,0.04424242424242424,11.757575757575758,0.9656565656565657,42,0.7575757575757576,1,6.474747474747475
100,387,0,4,0.04666666666666666,13.393939393939394,0.4484848484848485,42,0.796969696969697,1,6.070707070707071
100,803,0,5,0.05030303030303031,8.90909090909091,0.795959595959596,41,0.793939393939394,1,4.8989898989899
100,790,0,4,0.02484848484848485,12.363636363636363,1.0787878787878789,52,0.7484848484848485,1,6.232323232323233
100,787,0,7,0.035151515151515156,12.303030303030303,1.0707070707070707,48,0.7363636363636363,1,4.1313131313131315
100,341,0,5,0.028484848484848484,8.606060606060606,1.0545454545454547,57,0.7515151515151515,1,4.575757575757576
100,344,0,7,0.020606060606060607,11.757575757575758,0.8121212121212121,49,0.7545454545454546,1,4.414141414141414
100,823,0,5,0.05939393939393939,9.393939393939394,1.0303030303030303,45,0.793939393939394,1,4.1313131313131315
100,351,0,7,0.020606060606060607,13.393939393939394,0.7717171717171718,42,0.7606060606060606,1,5.464646464646465
100,835,0,3,0.05939393939393939,10.424242424242424,0.9575757575757576,56,0.7727272727272727,1,5.8686868686868685
100,834,0,4,0.06363636363636364,10.545454545454545,1.2,53,0.7848484848484849,1,6.838383838383839
100,239,0,4,0.05030303030303031,9.757575757575758,0.9575757575757576,52,0.790909090909091,1,6.191919191919192
100,831,0,6,0.04909090909090909,13.696969696969697,0.8606060606060606,42,0.7393939393939395,1,5.747474747474747
100,254,0,4,0.07636363636363637,11.93939393939394,0.6585858585858586,42,0.7878787878787878,1,3.686868686868687
100,183,0,5,0.061818181818181814,13.575757575757576,0.7232323232323232,42,0.7848484848484849,1,6.7979797979797985
100,147,0,7,0.03151515151515152,11.393939393939394,0.6585858585858586,44,0.7878787878787878,1,4.777777777777778
100,184,0,4,0.028484848484848484,9.393939393939394,1.094949494949495,40,0.7666666666666667,1,5.747474747474747
100,352,0,3,0.022424242424242423,10.06060606060606,1.0303030303030303,58,0.7696969696969698,1,4.01010101010101
100,353,0,5,0.023636363636363636,8.484848484848484,1.0464646464646465,42,0.7121212121212122,1,4.696969696969697
100,797,0,7,0.04363636363636364,12.0,1.0464646464646465,50,0.7757575757575759,1,6.515151515151516
100,188,0,3,0.04242424242424242,11.454545454545455,0.7070707070707071,44,0.793939393939394,1,6.595959595959597
100,196,0,7,0.06787878787878789,9.818181818181818,0.98989898989899,56,0.7757575757575759,1,6.353535353535354
100,870,0,7,0.04727272727272727,13.757575757575758,0.9494949494949495,54,0.7696969696969698,1,6.95959595959596
100,229,0,5,0.04363636363636364,12.363636363636363,1.2,41,0.7515151515151515,1,3.525252525252525
100,310,0,4,0.07212121212121213,9.818181818181818,0.9090909090909091,40,0.796969696969697,1,6.111111111111111
100,808,0,3,0.024242424242424242,11.696969696969697,1.1595959595959595,50,0.7575757575757576,1,5.787878787878788
100,811,0,5,0.046060606060606066,12.06060606060606,1.094949494949495,45,0.7666666666666667,1,4.5353535353535355
100,319,0,4,0.02,9.757575757575758,0.4565656565656566,55,0.7575757575757576,1,5.787878787878788
100,317,0,4,0.020606060606060607,12.969696969696969,0.6828282828282828,55,0.7545454545454546,1,4.696969696969697
100,240,0,4,0.041212121212121214,12.424242424242426,0.6828282828282828,43,0.7545454545454546,1,3.323232323232323
100,242,0,5,0.08,10.484848484848484,1.183838383838384,48,0.7727272727272727,1,4.01010101010101
100,250,0,4,0.03090909090909091,12.727272727272727,0.7555555555555555,56,0.7666666666666667,1,5.020202020202021
100,243,0,6,0.07333333333333333,8.666666666666666,1.1515151515151514,53,0.796969696969697,1,6.353535353535354
100,133,0,7,0.03151515151515152,13.333333333333334,0.6585858585858586,57,0.7575757575757576,1,6.313131313131313
100,138,0,6,0.03575757575757576,8.363636363636363,0.9090909090909091,41,0.7787878787878788,1,6.7979797979797985
100,396,0,4,0.03151515151515152,11.636363636363637,0.8606060606060606,52,0.7515151515151515,1,3.080808080808081
100,779,0,5,0.07454545454545454,13.454545454545455,1.0222222222222221,49,0.7818181818181819,1,4.414141414141414
100,94,0,6,0.026666666666666665,9.151515151515152,0.6262626262626263,46,0.7606060606060606,1,3.686868686868687
100,15,0,5,0.046060606060606066,13.93939393939394,0.8040404040404041,57,0.7606060606060606,1,4.8989898989899
100,63,0,4,0.06727272727272728,9.151515151515152,0.9575757575757576,58,0.7848484848484849,1,3.888888888888889
100,587,0,4,0.07818181818181819,12.06060606060606,0.8525252525252526,40,0.7272727272727273,1,4.252525252525253
100,553,0,5,0.02303030303030303,9.151515151515152,0.6585858585858586,40,0.793939393939394,1,3.525252525252525
100,580,0,4,0.056969696969696976,10.363636363636363,1.0222222222222221,50,0.7636363636363637,1,4.171717171717171
100,581,0,4,0.056969696969696976,13.333333333333334,1.094949494949495,44,0.7848484848484849,1,3.0
100,599,0,4,0.06363636363636364,11.09090909090909,1.0545454545454547,58,0.7848484848484849,1,6.272727272727273
100,288,0,3,0.04666666666666666,13.393939393939394,0.6101010101010101,46,0.793939393939394,1,4.737373737373737
100,269,0,5,0.02181818181818182,9.454545454545455,0.6666666666666667,52,0.790909090909091,1,4.616161616161616
