score,iteration,sift_nOctaveLayers,sift_sigma,min_match_count,sift_contrastThreshold,sift_edgeThreshold,good_matches_threshold,ransac_reproj_threshold
400,33,6,0.974516574300084,35,0.03997790154824866,12.543254664451517,0.7946462128513714,4.763095922589461
400,33,3,0.730074483447056,41,0.06771647695404921,9.243910488360832,0.7820039364591125,3.5608047446304516
400,33,7,0.4270079800842931,40,0.057906147311241565,11.711750529821849,0.6183526678311515,5.466842773784233
400,33,4,0.5648358319323724,34,0.030186587688420374,8.931106338733592,0.7846330669999865,6.157895035971691
400,33,5,0.9492049073043385,36,0.033777788059102434,12.489050275231985,0.7347259150099699,3.347308949963351
400,33,4,1.0570652447475002,38,0.053249847897192254,11.501983676591312,0.7768850668509018,6.3876883581859305
400,33,4,1.0656642381498136,45,0.02140081491344258,10.25088861768731,0.7910075054729026,6.910788350273336
400,33,3,0.49988827946061154,45,0.05964258289442516,11.865007431065973,0.7910320307178683,4.347744124445491
200,33,7,0.8590642802837631,49,0.02508118951939995,10.006071981371349,0.7764498601121725,4.798697323437532
200,33,5,1.0591115484609364,31,0.04006174944171381,7.144697533377263,0.7712698264795518,4.778485366667905
200,33,7,0.7865093834751197,30,0.045935978126459207,7.655042329865392,0.7923346596911378,3.796770385088621
200,33,5,0.8184396269546768,32,0.02346813893219036,9.282821077619147,0.777683604765314,3.901796879314245
200,33,7,1.1997832483152964,41,0.05167670559677326,9.333934249520166,0.785479179121263,5.5646627690692725
200,33,6,1.0671320707246457,41,0.060071953927971,9.105165417937625,0.7922603533600225,5.38301494760438
200,33,7,0.8604212597698802,50,0.02055230634155265,11.848115745883169,0.7793655623800468,3.837056564552543
200,33,6,0.9504226422847173,46,0.04692930438709453,10.472019352463464,0.7971330518899511,5.684970562799858
200,33,6,1.0267873242712748,37,0.04433729471819292,8.929026693105103,0.7996636290535137,6.47894367113809
100,33,6,0.8162148916953637,49,0.04835211913091024,7.388225522813952,0.7755274059689431,3.1439637684517794
100,33,6,0.8930960171006093,32,0.06228436746578597,9.987164207782293,0.7558803769937477,6.493035998437559
100,33,5,0.6753351049030958,37,0.024493757392418342,11.41524921106061,0.7362532501356311,4.161266139730472
100,33,7,0.886809271681581,38,0.06258908089615546,8.760488011783185,0.7935533372354886,6.426138180839965
100,33,5,0.7291489777662366,40,0.032087444132185984,9.986534833145928,0.7383509222158486,6.0800564298922986
100,33,3,0.7645301919314,31,0.035050995632376215,8.468155217922202,0.7522300465919205,4.963408955299124
100,33,5,1.1516590067388144,31,0.022411184316641863,12.316547424579388,0.7505730264492775,6.355226704385993
100,33,7,0.824745759023476,42,0.020175720671912388,7.579478552512291,0.793322750917515,4.76582588236284
100,33,3,0.788580695844314,30,0.061207315736782994,11.59957083123502,0.7454759550243887,5.4250864437373245
100,33,7,0.8358058532725716,30,0.05917308908091938,10.127188011327096,0.7589268751441384,6.118883361296206
100,33,6,0.6060398456719944,50,0.02605441177110443,10.823023189618977,0.7717280818427683,4.836857687881437
100,33,3,1.128269457538803,38,0.026064938821516382,12.424886276190293,0.7933639490366216,4.927221629632838
100,33,5,0.6548162360760699,39,0.04247756534752565,11.345842994007286,0.7490961719701357,5.996206975485851
100,33,7,0.9752411831631435,49,0.06068025839788116,12.753003240784828,0.7593224238890202,6.106394795890171
100,33,5,0.8836987704461681,42,0.05658149279560011,8.631718968394388,0.7513652801628743,5.110308396968062
100,33,7,0.9573485709689952,35,0.06252415950201501,7.733457164809766,0.7951150558473963,3.6331965339617462
100,33,5,0.49558731123583705,35,0.06502062968075373,7.731912392105749,0.78340647782094,6.613962349245053
100,33,7,1.1011032802207068,38,0.04671875758614427,9.162530479179816,0.7696125758572889,5.962618684898592
100,33,6,0.7058383263837741,45,0.021345463019999743,12.590004051668538,0.7176846876608775,4.114055618067244
100,33,7,0.6165633047854764,50,0.0424727953983597,12.935696384036694,0.7715557236494858,5.813796342883693
100,33,3,0.7689506784368261,32,0.05357198823389697,11.071689578700248,0.794029977464566,5.622612430309241
100,33,7,1.0350730016410357,37,0.020894387428706872,12.54923260359655,0.7307556684937966,3.572519046330216
100,33,7,1.0514154298694798,34,0.028934032238659934,10.35358454604952,0.7608185974638135,4.188266622096949
100,33,3,0.8158242007181209,42,0.0284641661870013,7.140435846230732,0.78257493124619,5.19075945792383
100,33,5,1.0885554765109264,31,0.038666800834691664,12.295578368592615,0.7222091959580781,5.847839327134039
100,33,5,0.6978231706047942,42,0.05197541674600478,9.092542756619967,0.7805170209032074,6.1311812216316355
100,33,7,1.198045636020432,38,0.035091554565582425,9.054597670938517,0.7085233444387566,3.7985396249849543
