index,score,params,iteration
184,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.05555555555555555), 'sift_edgeThreshold': np.float64(13.787878787878787), 'sift_sigma': np.float64(0.5858585858585859), 'min_match_count': 43, 'good_matches_threshold': np.float64(0.6666666666666666), 'mask_scale': 1}",184
211,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.025252525252525252), 'sift_edgeThreshold': np.float64(7.525252525252525), 'sift_sigma': np.float64(0.41212121212121217), 'min_match_count': 45, 'good_matches_threshold': np.float64(0.8787878787878788), 'mask_scale': 1}",211
218,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.047474747474747475), 'sift_edgeThreshold': np.float64(11.161616161616163), 'sift_sigma': np.float64(0.7434343434343434), 'min_match_count': 59, 'good_matches_threshold': np.float64(0.6393939393939394), 'mask_scale': 1}",218
217,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.023636363636363636), 'sift_edgeThreshold': np.float64(10.555555555555555), 'sift_sigma': np.float64(0.5535353535353535), 'min_match_count': 50, 'good_matches_threshold': np.float64(0.8606060606060606), 'mask_scale': 1}",217
216,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.02282828282828283), 'sift_edgeThreshold': np.float64(14.09090909090909), 'sift_sigma': np.float64(0.698989898989899), 'min_match_count': 59, 'good_matches_threshold': np.float64(0.6696969696969697), 'mask_scale': 1}",216
215,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.036565656565656565), 'sift_edgeThreshold': np.float64(7.222222222222222), 'sift_sigma': np.float64(0.6666666666666667), 'min_match_count': 43, 'good_matches_threshold': np.float64(0.6727272727272727), 'mask_scale': 1}",215
214,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.034545454545454546), 'sift_edgeThreshold': np.float64(13.181818181818182), 'sift_sigma': np.float64(0.7070707070707071), 'min_match_count': 58, 'good_matches_threshold': np.float64(0.6787878787878787), 'mask_scale': 1}",214
212,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.05797979797979798), 'sift_edgeThreshold': np.float64(10.757575757575758), 'sift_sigma': np.float64(0.7111111111111111), 'min_match_count': 51, 'good_matches_threshold': np.float64(0.6575757575757576), 'mask_scale': 1}",212
210,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.025252525252525252), 'sift_edgeThreshold': np.float64(5.202020202020202), 'sift_sigma': np.float64(0.7272727272727273), 'min_match_count': 43, 'good_matches_threshold': np.float64(0.6848484848484848), 'mask_scale': 1}",210
203,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.03979797979797979), 'sift_edgeThreshold': np.float64(12.373737373737374), 'sift_sigma': np.float64(0.4282828282828283), 'min_match_count': 47, 'good_matches_threshold': np.float64(0.8727272727272728), 'mask_scale': 1}",203
209,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.05959595959595959), 'sift_edgeThreshold': np.float64(7.929292929292929), 'sift_sigma': np.float64(0.7838383838383838), 'min_match_count': 50, 'good_matches_threshold': np.float64(0.8363636363636364), 'mask_scale': 1}",209
208,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.0402020202020202), 'sift_edgeThreshold': np.float64(10.858585858585858), 'sift_sigma': np.float64(0.5373737373737374), 'min_match_count': 53, 'good_matches_threshold': np.float64(0.7090909090909091), 'mask_scale': 1}",208
207,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.05555555555555555), 'sift_edgeThreshold': np.float64(14.09090909090909), 'sift_sigma': np.float64(0.4484848484848485), 'min_match_count': 59, 'good_matches_threshold': np.float64(0.6454545454545454), 'mask_scale': 1}",207
206,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.030909090909090907), 'sift_edgeThreshold': np.float64(6.616161616161616), 'sift_sigma': np.float64(0.5454545454545454), 'min_match_count': 40, 'good_matches_threshold': np.float64(0.8121212121212121), 'mask_scale': 1}",206
205,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.05797979797979798), 'sift_edgeThreshold': np.float64(14.292929292929292), 'sift_sigma': np.float64(0.6060606060606061), 'min_match_count': 58, 'good_matches_threshold': np.float64(0.6272727272727272), 'mask_scale': 1}",205
204,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.022424242424242423), 'sift_edgeThreshold': np.float64(13.080808080808081), 'sift_sigma': np.float64(0.5818181818181818), 'min_match_count': 48, 'good_matches_threshold': np.float64(0.703030303030303), 'mask_scale': 1}",204
185,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.05959595959595959), 'sift_edgeThreshold': np.float64(7.626262626262626), 'sift_sigma': np.float64(0.6262626262626263), 'min_match_count': 50, 'good_matches_threshold': np.float64(0.7151515151515151), 'mask_scale': 1}",185
180,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.03535353535353535), 'sift_edgeThreshold': np.float64(6.414141414141414), 'sift_sigma': np.float64(0.5494949494949495), 'min_match_count': 51, 'good_matches_threshold': np.float64(0.8909090909090909), 'mask_scale': 1}",180
