score,params,iteration
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.028888888888888888), 'sift_edgeThreshold': np.float64(12.878787878787879), 'sift_sigma': np.float64(0.5616161616161617), 'min_match_count': 58, 'good_matches_threshold': np.float64(0.8212121212121213), 'mask_scale': 1}",294
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.03979797979797979), 'sift_edgeThreshold': np.float64(9.141414141414142), 'sift_sigma': np.float64(0.45252525252525255), 'min_match_count': 49, 'good_matches_threshold': np.float64(0.806060606060606), 'mask_scale': 1}",293
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.043434343434343436), 'sift_edgeThreshold': np.float64(10.858585858585858), 'sift_sigma': np.float64(0.5818181818181818), 'min_match_count': 55, 'good_matches_threshold': np.float64(0.6424242424242425), 'mask_scale': 1}",291
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.043434343434343436), 'sift_edgeThreshold': np.float64(13.787878787878787), 'sift_sigma': np.float64(0.6787878787878788), 'min_match_count': 59, 'good_matches_threshold': np.float64(0.6575757575757576), 'mask_scale': 1}",290
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.059191919191919184), 'sift_edgeThreshold': np.float64(7.929292929292929), 'sift_sigma': np.float64(0.5494949494949495), 'min_match_count': 45, 'good_matches_threshold': np.float64(0.8272727272727273), 'mask_scale': 1}",276
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.047878787878787875), 'sift_edgeThreshold': np.float64(11.666666666666668), 'sift_sigma': np.float64(0.4484848484848485), 'min_match_count': 53, 'good_matches_threshold': np.float64(0.7545454545454545), 'mask_scale': 1}",275
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.053131313131313126), 'sift_edgeThreshold': np.float64(6.818181818181818), 'sift_sigma': np.float64(0.4727272727272728), 'min_match_count': 55, 'good_matches_threshold': np.float64(0.8727272727272728), 'mask_scale': 1}",273
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.049898989898989894), 'sift_edgeThreshold': np.float64(9.444444444444445), 'sift_sigma': np.float64(0.5454545454545454), 'min_match_count': 57, 'good_matches_threshold': np.float64(0.8212121212121213), 'mask_scale': 1}",288
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.020404040404040404), 'sift_edgeThreshold': np.float64(5.101010101010101), 'sift_sigma': np.float64(0.496969696969697), 'min_match_count': 56, 'good_matches_threshold': np.float64(0.6878787878787879), 'mask_scale': 1}",278
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.04464646464646464), 'sift_edgeThreshold': np.float64(13.080808080808081), 'sift_sigma': np.float64(0.6141414141414141), 'min_match_count': 47, 'good_matches_threshold': np.float64(0.8090909090909091), 'mask_scale': 1}",285
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.021212121212121213), 'sift_edgeThreshold': np.float64(8.636363636363637), 'sift_sigma': np.float64(0.7393939393939395), 'min_match_count': 49, 'good_matches_threshold': np.float64(0.8181818181818181), 'mask_scale': 1}",284
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.04262626262626262), 'sift_edgeThreshold': np.float64(13.080808080808081), 'sift_sigma': np.float64(0.5171717171717172), 'min_match_count': 46, 'good_matches_threshold': np.float64(0.8151515151515152), 'mask_scale': 1}",283
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.045858585858585856), 'sift_edgeThreshold': np.float64(8.434343434343434), 'sift_sigma': np.float64(0.6868686868686869), 'min_match_count': 55, 'good_matches_threshold': np.float64(0.6757575757575758), 'mask_scale': 1}",268
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.05676767676767676), 'sift_edgeThreshold': np.float64(12.171717171717171), 'sift_sigma': np.float64(0.7313131313131314), 'min_match_count': 50, 'good_matches_threshold': np.float64(0.7575757575757576), 'mask_scale': 1}",267
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.024444444444444442), 'sift_edgeThreshold': np.float64(10.252525252525253), 'sift_sigma': np.float64(0.698989898989899), 'min_match_count': 51, 'good_matches_threshold': np.float64(0.893939393939394), 'mask_scale': 1}",266
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.046262626262626255), 'sift_edgeThreshold': np.float64(7.929292929292929), 'sift_sigma': np.float64(0.5616161616161617), 'min_match_count': 40, 'good_matches_threshold': np.float64(0.6666666666666666), 'mask_scale': 1}",265
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.046262626262626255), 'sift_edgeThreshold': np.float64(13.080808080808081), 'sift_sigma': np.float64(0.6868686868686869), 'min_match_count': 50, 'good_matches_threshold': np.float64(0.609090909090909), 'mask_scale': 1}",280
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.03979797979797979), 'sift_edgeThreshold': np.float64(14.292929292929292), 'sift_sigma': np.float64(0.6626262626262627), 'min_match_count': 51, 'good_matches_threshold': np.float64(0.6181818181818182), 'mask_scale': 1}",279
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.02282828282828283), 'sift_edgeThreshold': np.float64(12.171717171717171), 'sift_sigma': np.float64(0.5050505050505051), 'min_match_count': 59, 'good_matches_threshold': np.float64(0.8393939393939394), 'mask_scale': 1}",287
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.020404040404040404), 'sift_edgeThreshold': np.float64(11.464646464646464), 'sift_sigma': np.float64(0.4767676767676768), 'min_match_count': 56, 'good_matches_threshold': np.float64(0.7181818181818181), 'mask_scale': 1}",160
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.0507070707070707), 'sift_edgeThreshold': np.float64(14.797979797979798), 'sift_sigma': np.float64(0.5333333333333333), 'min_match_count': 53, 'good_matches_threshold': np.float64(0.6303030303030303), 'mask_scale': 1}",159
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.05474747474747474), 'sift_edgeThreshold': np.float64(5.303030303030303), 'sift_sigma': np.float64(0.43232323232323233), 'min_match_count': 47, 'good_matches_threshold': np.float64(0.8727272727272728), 'mask_scale': 1}",157
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.05353535353535353), 'sift_edgeThreshold': np.float64(5.0), 'sift_sigma': np.float64(0.7070707070707071), 'min_match_count': 57, 'good_matches_threshold': np.float64(0.8787878787878788), 'mask_scale': 1}",156
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.025252525252525252), 'sift_edgeThreshold': np.float64(14.696969696969697), 'sift_sigma': np.float64(0.5252525252525253), 'min_match_count': 50, 'good_matches_threshold': np.float64(0.6545454545454545), 'mask_scale': 1}",155
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.05595959595959596), 'sift_edgeThreshold': np.float64(14.494949494949495), 'sift_sigma': np.float64(0.501010101010101), 'min_match_count': 41, 'good_matches_threshold': np.float64(0.6636363636363636), 'mask_scale': 1}",208
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.0301010101010101), 'sift_edgeThreshold': np.float64(11.565656565656566), 'sift_sigma': np.float64(0.496969696969697), 'min_match_count': 45, 'good_matches_threshold': np.float64(0.6363636363636364), 'mask_scale': 1}",206
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.0402020202020202), 'sift_edgeThreshold': np.float64(13.787878787878787), 'sift_sigma': np.float64(0.5171717171717172), 'min_match_count': 55, 'good_matches_threshold': np.float64(0.706060606060606), 'mask_scale': 1}",204
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.04909090909090909), 'sift_edgeThreshold': np.float64(14.595959595959595), 'sift_sigma': np.float64(0.5777777777777778), 'min_match_count': 42, 'good_matches_threshold': np.float64(0.7090909090909091), 'mask_scale': 1}",222
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.045454545454545456), 'sift_edgeThreshold': np.float64(13.585858585858587), 'sift_sigma': np.float64(0.6868686868686869), 'min_match_count': 57, 'good_matches_threshold': np.float64(0.7636363636363637), 'mask_scale': 1}",201
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.05595959595959596), 'sift_edgeThreshold': np.float64(10.353535353535353), 'sift_sigma': np.float64(0.4404040404040404), 'min_match_count': 50, 'good_matches_threshold': np.float64(0.6393939393939394), 'mask_scale': 1}",152
