score,params,iteration
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 5, 'sift_contrastThreshold': np.float64(0.03777777777777777), 'sift_edgeThreshold': np.float64(11.767676767676768), 'sift_sigma': np.float64(0.6848484848484848), 'min_match_count': 44, 'good_matches_threshold': np.float64(0.6363636363636364), 'mask_scale': 1}",38
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.020404040404040404), 'sift_edgeThreshold': np.float64(13.88888888888889), 'sift_sigma': np.float64(0.9393939393939394), 'min_match_count': 47, 'good_matches_threshold': np.float64(0.8181818181818181), 'mask_scale': 1}",47
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.04101010101010101), 'sift_edgeThreshold': np.float64(14.696969696969697), 'sift_sigma': np.float64(0.8424242424242425), 'min_match_count': 48, 'good_matches_threshold': np.float64(0.8848484848484849), 'mask_scale': 1}",17
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.05757575757575757), 'sift_edgeThreshold': np.float64(6.111111111111111), 'sift_sigma': np.float64(0.7696969696969698), 'min_match_count': 54, 'good_matches_threshold': np.float64(0.8515151515151516), 'mask_scale': 1}",31
50,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.027676767676767675), 'sift_edgeThreshold': np.float64(6.01010101010101), 'sift_sigma': np.float64(0.8666666666666667), 'min_match_count': 43, 'good_matches_threshold': np.float64(0.7363636363636363), 'mask_scale': 1}",4
50,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.04262626262626262), 'sift_edgeThreshold': np.float64(12.272727272727273), 'sift_sigma': np.float64(0.6727272727272727), 'min_match_count': 51, 'good_matches_threshold': np.float64(0.8606060606060606), 'mask_scale': 1}",1
50,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.032929292929292926), 'sift_edgeThreshold': np.float64(5.303030303030303), 'sift_sigma': np.float64(0.6484848484848484), 'min_match_count': 50, 'good_matches_threshold': np.float64(0.7757575757575758), 'mask_scale': 1}",46
50,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.02404040404040404), 'sift_edgeThreshold': np.float64(10.656565656565657), 'sift_sigma': np.float64(0.8909090909090909), 'min_match_count': 54, 'good_matches_threshold': np.float64(0.7393939393939394), 'mask_scale': 1}",11
50,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.03535353535353535), 'sift_edgeThreshold': np.float64(12.474747474747474), 'sift_sigma': np.float64(0.6181818181818182), 'min_match_count': 49, 'good_matches_threshold': np.float64(0.8333333333333334), 'mask_scale': 1}",3
50,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 5, 'sift_contrastThreshold': np.float64(0.04868686868686868), 'sift_edgeThreshold': np.float64(5.404040404040404), 'sift_sigma': np.float64(0.5575757575757576), 'min_match_count': 59, 'good_matches_threshold': np.float64(0.8303030303030303), 'mask_scale': 1}",42
50,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 5, 'sift_contrastThreshold': np.float64(0.028484848484848484), 'sift_edgeThreshold': np.float64(10.858585858585858), 'sift_sigma': np.float64(0.5212121212121212), 'min_match_count': 41, 'good_matches_threshold': np.float64(0.7909090909090909), 'mask_scale': 1}",18
50,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 5, 'sift_contrastThreshold': np.float64(0.03939393939393939), 'sift_edgeThreshold': np.float64(8.636363636363637), 'sift_sigma': np.float64(0.793939393939394), 'min_match_count': 52, 'good_matches_threshold': np.float64(0.7909090909090909), 'mask_scale': 1}",20
50,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 5, 'sift_contrastThreshold': np.float64(0.02202020202020202), 'sift_edgeThreshold': np.float64(8.131313131313131), 'sift_sigma': np.float64(0.9696969696969697), 'min_match_count': 56, 'good_matches_threshold': np.float64(0.7757575757575758), 'mask_scale': 1}",12
50,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.02), 'sift_edgeThreshold': np.float64(6.818181818181818), 'sift_sigma': np.float64(0.9333333333333333), 'min_match_count': 47, 'good_matches_threshold': np.float64(0.8), 'mask_scale': 1}",15
50,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.03212121212121212), 'sift_edgeThreshold': np.float64(12.171717171717171), 'sift_sigma': np.float64(0.5090909090909091), 'min_match_count': 40, 'good_matches_threshold': np.float64(0.7484848484848485), 'mask_scale': 1}",9
50,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.032525252525252527), 'sift_edgeThreshold': np.float64(8.93939393939394), 'sift_sigma': np.float64(0.48484848484848486), 'min_match_count': 50, 'good_matches_threshold': np.float64(0.806060606060606), 'mask_scale': 1}",45
50,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.03535353535353535), 'sift_edgeThreshold': np.float64(11.464646464646464), 'sift_sigma': np.float64(0.7575757575757576), 'min_match_count': 47, 'good_matches_threshold': np.float64(0.7515151515151515), 'mask_scale': 1}",40
25,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.03575757575757575), 'sift_edgeThreshold': np.float64(14.292929292929292), 'sift_sigma': np.float64(0.4), 'min_match_count': 41, 'good_matches_threshold': np.float64(0.706060606060606), 'mask_scale': 1}",35
25,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.020404040404040404), 'sift_edgeThreshold': np.float64(8.737373737373737), 'sift_sigma': np.float64(0.40606060606060607), 'min_match_count': 56, 'good_matches_threshold': np.float64(0.6424242424242425), 'mask_scale': 1}",8
25,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.04464646464646464), 'sift_edgeThreshold': np.float64(5.808080808080808), 'sift_sigma': np.float64(0.8181818181818181), 'min_match_count': 54, 'good_matches_threshold': np.float64(0.603030303030303), 'mask_scale': 1}",10
25,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.03979797979797979), 'sift_edgeThreshold': np.float64(7.929292929292929), 'sift_sigma': np.float64(0.6181818181818182), 'min_match_count': 56, 'good_matches_threshold': np.float64(0.6272727272727272), 'mask_scale': 1}",14
24,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.046262626262626255), 'sift_edgeThreshold': np.float64(7.121212121212121), 'sift_sigma': np.float64(0.9454545454545454), 'min_match_count': 45, 'good_matches_threshold': np.float64(0.6696969696969697), 'mask_scale': 1}",32
24,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.049898989898989894), 'sift_edgeThreshold': np.float64(8.838383838383837), 'sift_sigma': np.float64(0.5090909090909091), 'min_match_count': 46, 'good_matches_threshold': np.float64(0.6333333333333333), 'mask_scale': 1}",26
23,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.055151515151515146), 'sift_edgeThreshold': np.float64(15.0), 'sift_sigma': np.float64(0.49090909090909096), 'min_match_count': 50, 'good_matches_threshold': np.float64(0.7393939393939394), 'mask_scale': 1}",2
22,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.036565656565656565), 'sift_edgeThreshold': np.float64(8.737373737373737), 'sift_sigma': np.float64(0.7333333333333334), 'min_match_count': 51, 'good_matches_threshold': np.float64(0.6), 'mask_scale': 1}",16
22,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.026060606060606062), 'sift_edgeThreshold': np.float64(11.464646464646464), 'sift_sigma': np.float64(0.9393939393939394), 'min_match_count': 44, 'good_matches_threshold': np.float64(0.6121212121212121), 'mask_scale': 1}",23
21,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.03373737373737373), 'sift_edgeThreshold': np.float64(6.515151515151516), 'sift_sigma': np.float64(0.5333333333333333), 'min_match_count': 44, 'good_matches_threshold': np.float64(0.706060606060606), 'mask_scale': 1}",22
21,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.043434343434343436), 'sift_edgeThreshold': np.float64(10.858585858585858), 'sift_sigma': np.float64(0.9515151515151515), 'min_match_count': 49, 'good_matches_threshold': np.float64(0.6909090909090909), 'mask_scale': 1}",24
20,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 5, 'sift_contrastThreshold': np.float64(0.03898989898989899), 'sift_edgeThreshold': np.float64(14.292929292929292), 'sift_sigma': np.float64(0.8606060606060606), 'min_match_count': 46, 'good_matches_threshold': np.float64(0.6), 'mask_scale': 1}",13
20,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.04505050505050505), 'sift_edgeThreshold': np.float64(14.191919191919192), 'sift_sigma': np.float64(0.6848484848484848), 'min_match_count': 42, 'good_matches_threshold': np.float64(0.6333333333333333), 'mask_scale': 1}",6
20,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.043838383838383836), 'sift_edgeThreshold': np.float64(10.656565656565657), 'sift_sigma': np.float64(0.5272727272727273), 'min_match_count': 51, 'good_matches_threshold': np.float64(0.6909090909090909), 'mask_scale': 1}",39
20,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.04222222222222222), 'sift_edgeThreshold': np.float64(12.575757575757574), 'sift_sigma': np.float64(0.8727272727272728), 'min_match_count': 56, 'good_matches_threshold': np.float64(0.7181818181818181), 'mask_scale': 1}",36
19,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 5, 'sift_contrastThreshold': np.float64(0.03818181818181818), 'sift_edgeThreshold': np.float64(12.575757575757574), 'sift_sigma': np.float64(0.5818181818181818), 'min_match_count': 53, 'good_matches_threshold': np.float64(0.6606060606060606), 'mask_scale': 1}",21
19,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.03979797979797979), 'sift_edgeThreshold': np.float64(8.232323232323232), 'sift_sigma': np.float64(0.6121212121212122), 'min_match_count': 40, 'good_matches_threshold': np.float64(0.7242424242424242), 'mask_scale': 1}",29
18,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 5, 'sift_contrastThreshold': np.float64(0.03818181818181818), 'sift_edgeThreshold': np.float64(12.171717171717171), 'sift_sigma': np.float64(0.5151515151515151), 'min_match_count': 43, 'good_matches_threshold': np.float64(0.7212121212121212), 'mask_scale': 1}",28
18,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.04181818181818182), 'sift_edgeThreshold': np.float64(8.131313131313131), 'sift_sigma': np.float64(0.8060606060606061), 'min_match_count': 50, 'good_matches_threshold': np.float64(0.7272727272727273), 'mask_scale': 1}",34
13,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.02404040404040404), 'sift_edgeThreshold': np.float64(11.565656565656566), 'sift_sigma': np.float64(0.7272727272727273), 'min_match_count': 43, 'good_matches_threshold': np.float64(0.6545454545454545), 'mask_scale': 1}",25
10,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 5, 'sift_contrastThreshold': np.float64(0.04262626262626262), 'sift_edgeThreshold': np.float64(10.858585858585858), 'sift_sigma': np.float64(0.8121212121212121), 'min_match_count': 40, 'good_matches_threshold': np.float64(0.7181818181818181), 'mask_scale': 1}",27
