score,params,iteration
100,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.036565656565656565), 'sift_edgeThreshold': np.float64(7.929292929292929), 'sift_sigma': np.float64(0.6242424242424243), 'min_match_count': 46, 'good_matches_threshold': np.float64(0.8393939393939394), 'mask_scale': 1}",19
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 5, 'sift_contrastThreshold': np.float64(0.05797979797979798), 'sift_edgeThreshold': np.float64(9.141414141414142), 'sift_sigma': np.float64(0.6606060606060606), 'min_match_count': 54, 'good_matches_threshold': np.float64(0.8242424242424242), 'mask_scale': 1}",0
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.03939393939393939), 'sift_edgeThreshold': np.float64(14.595959595959595), 'sift_sigma': np.float64(0.8121212121212121), 'min_match_count': 47, 'good_matches_threshold': np.float64(0.8454545454545455), 'mask_scale': 1}",7
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.04303030303030303), 'sift_edgeThreshold': np.float64(10.353535353535353), 'sift_sigma': np.float64(0.9090909090909091), 'min_match_count': 58, 'good_matches_threshold': np.float64(0.8545454545454545), 'mask_scale': 1}",5
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.023636363636363636), 'sift_edgeThreshold': np.float64(14.393939393939394), 'sift_sigma': np.float64(0.593939393939394), 'min_match_count': 41, 'good_matches_threshold': np.float64(0.793939393939394), 'mask_scale': 1}",30
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 5, 'sift_contrastThreshold': np.float64(0.0301010101010101), 'sift_edgeThreshold': np.float64(10.353535353535353), 'sift_sigma': np.float64(0.8), 'min_match_count': 59, 'good_matches_threshold': np.float64(0.8636363636363636), 'mask_scale': 1}",44
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 5, 'sift_contrastThreshold': np.float64(0.03535353535353535), 'sift_edgeThreshold': np.float64(12.878787878787879), 'sift_sigma': np.float64(0.9575757575757576), 'min_match_count': 49, 'good_matches_threshold': np.float64(0.8757575757575757), 'mask_scale': 1}",43
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.046262626262626255), 'sift_edgeThreshold': np.float64(8.93939393939394), 'sift_sigma': np.float64(0.6121212121212122), 'min_match_count': 50, 'good_matches_threshold': np.float64(0.8545454545454545), 'mask_scale': 1}",41
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.02282828282828283), 'sift_edgeThreshold': np.float64(15.0), 'sift_sigma': np.float64(0.5575757575757576), 'min_match_count': 59, 'good_matches_threshold': np.float64(0.6060606060606061), 'mask_scale': 1}",33
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 5, 'sift_contrastThreshold': np.float64(0.025656565656565655), 'sift_edgeThreshold': np.float64(7.929292929292929), 'sift_sigma': np.float64(0.8303030303030303), 'min_match_count': 54, 'good_matches_threshold': np.float64(0.8545454545454545), 'mask_scale': 1}",37
